5,-5
6,-6
7,2
8,2
2,-5
5,-4
4,-3
4,-5
7,0
4,-4
8,-3
8,-3
5,-4
7,-2
8,-1
7,-2
7,-5
10,4
11,1
11,6
7,2
8,-4
6,1
11,4
8,2
10,-1
13,4
7,-1
9,1
13,6
11,6
14,6
11,0
13,6
14,6
14,4
12,3
11,1
14,8
12,0
14,4
11,0
15,10
11,6
13,1
14,4
17,7
13,5
15,7
14,2
18,8
13,8
17,10
13,7
12,2
13,1
15,6
17,8
15,9
16,11
20,13
14,8
20,11
15,9
20,12
15,9
15,6
17,12
17,10
17,7
21,9
19,14
19,7
22,17
22,10
17,10
18,9
17,12
17,10
19,13
20,13
22,17
20,10
21,16
23,12
23,17
19,8
21,16
21,10
25,18
